$MSTAT,1600560600,092020,001000,12.0748.2984,E,1.26,251.32,200920,,,A*60
$MSTAT,1600574521,092020,040201,12.0363,0.2511,28.0937,45.7831,3.2155,1.2144,3.3177,15284832
$MSTAT,1600574640,092020,040400,12.0348,0.2481,28.0819,45.9448,3.2159,1.2144,3.3173,15284832
$MSTAT,1600574760,092020,040600,12.0254,0.2443,28.0575,45.9121,3.2154,1.2144,3.3170,15284832
$MSTAT,1600574881,092020,040801,12.0438,0.2305,28.0859,45.7306,3.2148,1.2144,3.3161,15284832
$MSTAT,1600575001,092020,041001,12.0483,0.2233,28.0523,45.9034,3.2181,1.2144,3.3180,15284832
$MSTAT,1600575120,092020,041200,12.0353,0.2316,28.0468,45.9025,3.2164,1.2144,3.3171,15284832
$MSTAT,1600575240,092020,041400,12.0394,0.2400,28.0566,46.0871,3.2166,1.2144,3.3178,15284832
$MSTAT,1600575361,092020,041601,12.0311,0.2413,28.0284,45.8051,3.2155,1.2144,3.3170,15284832
$MSTAT,1600575481,092020,041801,12.0394,0.2316,28.1000,45.8950,3.2161,1.2144,3.3168,15284832
$MSTAT,1600575600,092020,042000,12.0469,0.2192,28.0293,45.7377,3.2168,1.2144,3.3177,15284832
